step, loss 
0 , 684.12
500 , 61.04
1000 , 61.16
1500 , 57.36
1500 , 60.05
2000 , 66.35
2000 , 65.12
2500 , 55.71
3000 , 53.39
3500 , 59.51
4000 , 65.77
4500 , 51.91
5000 , 61.96
5000 , 70.42
5500 , 50.46
6000 , 61.09
6500 , 65.68
6500 , 64.44
6500 , 42.59
7000 , 52.48
7000 , 48.77
7500 , 63.10
8000 , 54.90
8500 , 45.62
9000 , 194.93
9500 , 56.14
10000 , 55.82
10500 , 54.59
10500 , 58.16
11000 , 69.83
11000 , 63.52
11000 , 52.37
11500 , 45.86
12000 , 57.35
12500 , 52.81
12500 , 60.82
13000 , 50.54
13500 , 59.47
14000 , 51.80
14500 , 61.53
14500 , 42.61
15000 , 49.04
15000 , 43.29
15500 , 70.84
16000 , 45.80
16500 , 68.04
17000 , 66.82
17500 , 52.80
17500 , 38.13
18000 , 44.76
18500 , 67.65
18500 , 69.95
19000 , 61.48
19500 , 69.88
20000 , 53.56
20500 , 44.26
21000 , 72.68
21500 , 40.00
21500 , 44.09
21500 , 47.72
22000 , 64.67
22000 , 51.51
22500 , 65.62
23000 , 52.54
23000 , 45.91
23500 , 49.72
24000 , 54.31
24500 , 54.10
25000 , 63.72
25500 , 55.23
26000 , 44.30
26500 , 53.33
27000 , 52.51
27500 , 79.29
28000 , 62.71
28500 , 64.84
29000 , 45.89
29500 , 58.07
30000 , 52.18
30000 , 58.54
30500 , 47.45
30500 , 49.82
30500 , 43.93
30500 , 48.17
31000 , 78.39
31500 , 46.16
32000 , 66.11
32500 , 58.94
33000 , 58.47
33000 , 68.12
33500 , 55.07
33500 , 56.48
34000 , 70.98
34000 , 60.25
34000 , 47.64
34000 , 60.97
34000 , 54.93
34000 , 52.06
34000 , 56.40
34000 , 67.68
34000 , 52.16
34000 , 76.40
34000 , 46.00
34500 , 53.07
35000 , 57.00
35500 , 58.68
36000 , 53.79
36500 , 44.83
37000 , 45.61
37500 , 60.89
38000 , 52.31
38000 , 63.28
38500 , 77.24
39000 , 60.74
39500 , 47.19
40000 , 52.62
40500 , 56.94
40500 , 51.92
41000 , 40.64
41500 , 53.82
42000 , 49.68
42500 , 47.05
43000 , 57.27
43500 , 55.60
43500 , 49.92
44000 , 51.63
44500 , 57.03
45000 , 54.47
45000 , 52.90
45500 , 67.22
45500 , 56.60
46000 , 75.30
46500 , 67.93
47000 , 53.85
47000 , 73.46
47500 , 45.10
48000 , 39.70
48500 , 59.29
49000 , 46.27
49500 , 54.85
50000 , 39.43
50500 , 46.73
51000 , 50.22
51500 , 48.82
52000 , 61.95
52000 , 46.55
52000 , 58.78
52500 , 62.83
53000 , 59.50
53500 , 60.69
54000 , 55.57
54500 , 65.54
54500 , 66.63
55000 , 59.29
55500 , 51.01
55500 , 54.43
56000 , 38.24
56500 , 44.82
57000 , 50.05
57500 , 48.15
57500 , 59.50
57500 , 73.69
58000 , 41.02
58500 , 53.95
59000 , 51.69
59500 , 56.04
60000 , 41.54
60500 , 54.53
61000 , 56.13
61500 , 61.40
61500 , 40.45
62000 , 45.21
62500 , 42.78
62500 , 63.09
63000 , 50.73
63500 , 47.50
64000 , 61.85
64500 , 56.61
65000 , 61.96
65500 , 65.70
65500 , 62.50
66000 , 64.56
66500 , 57.69
67000 , 58.80
67500 , 54.56
68000 , 54.69
68500 , 64.87
69000 , 48.87
69500 , 44.04
69500 , 46.33
69500 , 49.64
70000 , 69.06
70500 , 49.97
71000 , 64.06
71500 , 49.97
72000 , 69.88
72500 , 56.20
73000 , 66.15
73000 , 46.56
73500 , 57.03
74000 , 42.48
74500 , 47.79
75000 , 62.82
75500 , 48.00
76000 , 49.75
76500 , 49.34
77000 , 55.46
77500 , 56.81
77500 , 43.91
77500 , 52.97
77500 , 68.93
78000 , 41.71
78000 , 42.62
78000 , 41.33
78500 , 55.94
79000 , 53.82
79500 , 44.81
80000 , 47.33
80500 , 52.28
81000 , 57.94
81500 , 43.88
82000 , 39.35
82500 , 40.61
83000 , 57.96
83500 , 50.46
84000 , 40.45
84500 , 43.51
85000 , 51.03
85500 , 56.43
86000 , 42.38
86500 , 60.33
87000 , 42.81
87500 , 46.83
87500 , 49.41
88000 , 62.32
88500 , 43.57
88500 , 61.23
88500 , 48.83
88500 , 52.95
88500 , 60.13
88500 , 61.88
88500 , 186.86
89000 , 299.03
89000 , 162.43
89500 , 284.80
90000 , 251.98
90000 , 298.97
90500 , 75.22
91000 , 65.07
91500 , 65.55
92000 , 50.19
92500 , 74.53
93000 , 51.98
93500 , 51.17
93500 , 61.60
94000 , 49.52
94500 , 49.24
95000 , 60.54
95500 , 56.81
96000 , 68.05
96500 , 56.38
97000 , 40.85
97500 , 53.03
98000 , 59.53
98000 , 55.07
98000 , 58.40
98500 , 42.10
98500 , 71.61
99000 , 48.95
99500 , 60.23
100000 , 45.56
100500 , 67.72
101000 , 51.18
101500 , 51.48
102000 , 65.18
102500 , 50.93
103000 , 66.55
103500 , 60.52
104000 , 60.52
104500 , 67.53
105000 , 51.60
105500 , 43.34
